Applicant_ID,Age,Income,Employment_Status,Credit_Score,Loan_Amount,Loan_Term_Months,Existing_Debt,Marital_Status,Loan_Status
A001,28,23278,Student,550,167026,24,193061,Single,Approved
A002,55,31395,Unemployed,332,65622,12,57314,Single,Rejected
A003,53,98907,Salaried,503,425400,60,109974,Single,Approved
A004,49,97236,Student,306,447833,24,183013,Married,Rejected0
A005,42,56421,Self-Employed,520,450290,36,26793,Single,Approved
A006,45,32676,Student,652,366526,36,11390,Married,Approved
A007,55,36361,Unemployed,380,339428,36,164794,Married,Rejected
A008,57,45203,Salaried,346,396692,24,75861,Single,Rejected
A009,35,33238,Unemployed,584,287717,36,42638,Married,Approved
A010,43,47460,Student,373,369360,24,140021,Single,Rejected
A011,31,80589,Unemployed,576,385544,60,57570,Married,Approved
A012,24,50021,Salaried,623,260325,36,17350,Single,Approved
A013,57,114098,Student,517,393638,48,103712,Married,Approved
A014,30,54718,Self-Employed,552,440588,60,141289,Married,Approved
A015,58,76155,Unemployed,670,164987,24,133569,Married,Approved
A016,26,119061,Salaried,412,130132,24,178384,Married,Rejected
A017,59,28326,Unemployed,690,362417,48,138704,Married,Approved
A018,56,21504,Salaried,849,443676,36,168024,Married,Approved
A019,28,58469,Unemployed,461,287881,12,189292,Married,Rejected
A020,53,119871,Self-Employed,819,105789,36,167496,Single,Approved
A021,30,69009,Self-Employed,843,50299,60,84975,Married,Approved
A022,22,34662,Student,614,175541,12,63143,Single,Approved
A023,26,115932,Unemployed,370,448774,60,32967,Single,Rejected
A024,51,92063,Self-Employed,571,326653,60,110923,Single,Approved
A025,55,118994,Self-Employed,619,259186,36,114845,Married,Approved
A026,28,52493,Self-Employed,365,227254,12,154221,Single,Rejected
A027,58,48864,Salaried,372,421112,12,60015,Single,Rejected
A028,23,63309,Salaried,826,174782,36,175368,Married,Approved
A029,34,90678,Self-Employed,784,177400,48,106708,Single,Approved
A030,27,32704,Unemployed,662,272077,48,122427,Single,Approved
A031,27,27944,Unemployed,647,469741,12,65183,Single,Approved
A032,33,90292,Unemployed,443,271187,24,73018,Married,Approved
A033,36,29880,Unemployed,400,76522,60,3868,Single,Rejected
A034,36,41798,Unemployed,797,302370,24,105130,Single,Approved
A035,31,69672,Salaried,699,189042,48,74776,Married,Approved
A036,56,106752,Unemployed,458,149561,36,57068,Single,Approved
A037,58,116434,Salaried,621,79971,12,153138,Married,Approved
A038,53,89615,Self-Employed,358,316248,12,48712,Single,Rejected
A039,59,28907,Self-Employed,713,112855,60,64543,Single,Approved
A040,60,30745,Unemployed,835,215868,36,53545,Married,Approved
A041,36,54814,Unemployed,434,402159,36,119858,Married,Rejected
A042,25,21220,Unemployed,402,88409,60,55877,Married,Rejected
A043,29,65745,Salaried,550,243738,36,41352,Married,Approved
A044,55,112214,Student,841,54101,60,78480,Single,Approved
A045,29,54664,Salaried,409,439240,60,40749,Married,Rejected
A046,39,99276,Self-Employed,651,156743,36,132489,Married,Approved
